,route_id,max_route_headway,max_route_weekday_headway
12,13138,20,15
97,13481,20,15
0,13126,60,20
27,13153,60,20
85,13469,60,20
113,13497,60,20
11,13137,60,24
96,13480,60,24
14,13140,60,30
36,13162,60,30
43,13169,60,30
99,13483,60,30
122,13506,60,30
129,13513,60,30
48,13174,60,60
133,13517,60,60
24,13150,120,30
25,13151,120,30
110,13494,120,30
111,13495,120,30
4,13130,120,40
49,13175,120,40
89,13473,120,40
134,13518,120,40
3,13129,120,120
88,13472,120,120
29,13155,121,30
30,13156,121,30
115,13499,121,30
116,13500,121,30
34,13160,121,40
35,13161,121,40
120,13504,121,40
121,13505,121,40
5,13131,121,60
7,13133,121,60
18,13144,121,60
31,13157,121,60
37,13163,121,60
42,13168,121,60
90,13474,121,60
92,13476,121,60
104,13488,121,60
117,13501,121,60
123,13507,121,60
128,13512,121,60
15,13141,121,120
39,13165,121,120
100,13484,121,120
125,13509,121,120
1,13127,121,121
2,13128,121,121
6,13132,121,121
8,13134,121,121
9,13135,121,121
10,13136,121,121
13,13139,121,121
16,13142,121,121
17,13143,121,121
19,13145,121,121
20,13146,121,121
21,13147,121,121
22,13148,121,121
23,13149,121,121
26,13152,121,121
28,13154,121,121
32,13158,121,121
33,13159,121,121
38,13164,121,121
40,13166,121,121
41,13167,121,121
44,13170,121,121
45,13171,121,121
46,13172,121,121
47,13173,121,121
50,13176,121,121
51,13177,121,121
52,13178,121,121
53,13179,121,121
54,13180,121,121
55,13181,121,121
56,13182,121,121
57,13183,121,121
58,13184,121,121
59,13441,121,121
60,13442,121,121
61,13444,121,121
62,13446,121,121
63,13447,121,121
64,13448,121,121
65,13449,121,121
66,13450,121,121
67,13451,121,121
68,13452,121,121
69,13453,121,121
70,13454,121,121
71,13455,121,121
72,13456,121,121
73,13457,121,121
74,13458,121,121
75,13459,121,121
76,13460,121,121
77,13461,121,121
78,13462,121,121
79,13463,121,121
80,13464,121,121
81,13465,121,121
82,13466,121,121
83,13467,121,121
84,13468,121,121
86,13470,121,121
87,13471,121,121
91,13475,121,121
93,13477,121,121
94,13478,121,121
95,13479,121,121
98,13482,121,121
101,13485,121,121
102,13486,121,121
103,13487,121,121
105,13489,121,121
106,13490,121,121
107,13491,121,121
108,13492,121,121
109,13493,121,121
112,13496,121,121
114,13498,121,121
118,13502,121,121
119,13503,121,121
124,13508,121,121
126,13510,121,121
127,13511,121,121
130,13514,121,121
131,13515,121,121
132,13516,121,121
135,13519,121,121
136,13520,121,121
137,13521,121,121
138,13522,121,121
139,13523,121,121
140,13524,121,121
141,13525,121,121
