,route_id,headway_tier,weekday_headway_tier,max_route_headway,max_route_weekday_headway
1,Q12,10,10,10.0,10.0
6,Q17,10,10,8.0,8.0
11,Q27,10,10,8.0,6.32
21,Q44+,10,10,9.23,8.0
22,Q46,10,10,9.23,6.32
12,Q28,15,10,12.0,10.0
20,Q43,15,10,15.0,8.0
24,Q5,15,10,15.0,7.5
27,Q83,15,10,15.0,10.0
29,Q85,15,10,13.33,9.23
16,Q32,15,15,13.33,12.0
14,Q30,30,10,20.0,7.5
0,Q1,30,15,20.0,15.0
2,Q13,30,15,17.14,12.0
7,Q2,30,15,20.0,15.0
13,Q3,30,15,20.0,15.0
17,Q36,30,15,20.0,15.0
18,Q4,30,15,17.14,12.0
28,Q84,30,15,20.0,15.0
30,Q88,30,15,24.0,10.91
5,Q16,30,30,24.0,20.0
8,Q20A,30,30,30.0,30.0
23,Q48,30,30,30.0,20.0
25,Q76,30,30,30.0,20.0
26,Q77,30,30,30.0,20.0
15,Q31,60,30,60.0,20.0
3,Q15,60,60,60.0,40.0
4,Q15A,60,60,60.0,40.0
9,Q20B,121,30,121.0,30.0
19,Q42,121,30,121.0,30.0
10,Q26,121,121,121.0,121.0
31,X63,121,121,121.0,121.0
32,X64,121,121,121.0,121.0
33,X68,121,121,121.0,121.0
